time step[RANGE|0:688],camera position[RADIO|center:path1:path2],streamlines[CHECK],cell color[RADIO|force:solid],transparent[CHECK],FILE,FILEvideo
0,center,0,force,0,CenterNoStreamlinesForce/BloodFlowODS_center_nostreamlines000_force.jpg,BloodFlowODS_center_nostreamlines_force.webm
0,center,0,force,1,CenterNoStreamlinesForceTrans/BloodFlowODS_center_nostreamlines000_force-transparent.jpg,BloodFlowODS_center_nostreamlines_force-transparent.webm
0,center,0,solid,0,CenterNoStreamlinesSolid/BloodFlowODS_center_nostreamlines000_solid.jpg,BloodFlowODS_center_nostreamlines_solid.webm
0,center,0,solid,1,CenterNoStreamlinesSolidTrans/BloodFlowODS_center_nostreamlines000_solid-transparent.jpg,BloodFlowODS_center_nostreamlines_solid-transparent.webm
0,center,1,force,0,CenterStreamlinesForce/BloodFlowODS_center_streamlines000_force.jpg,BloodFlowODS_center_streamlines_force.webm
0,center,1,force,1,CenterStreamlinesForceTrans/BloodFlowODS_center_streamlines000_force-transparent.jpg,BloodFlowODS_center_streamlines_force-transparent.webm
0,center,1,solid,0,CenterStreamlinesSolid/BloodFlowODS_center_streamlines000_solid.jpg,BloodFlowODS_center_streamlines_solid.webm
0,center,1,solid,1,CenterStreamlinesSolidTrans/BloodFlowODS_center_streamlines000_solid-transparent.jpg,BloodFlowODS_center_streamlines_solid-transparent.webm
0,path1,0,force,0,Path1NoStreamlinesForce/BloodFlowODS_path1_nostreamlines000_force.jpg,BloodFlowODS_path1_nostreamlines_force.webm
0,path1,0,force,1,Path1NoStreamlinesForceTrans/BloodFlowODS_path1_nostreamlines000_force-transparent.jpg,BloodFlowODS_path1_nostreamlines_force-transparent.webm
0,path1,0,solid,0,Path1NoStreamlinesSolid/BloodFlowODS_path1_nostreamlines000_solid.jpg,BloodFlowODS_path1_nostreamlines_solid.webm
0,path1,0,solid,1,Path1NoStreamlinesSolidTrans/BloodFlowODS_path1_nostreamlines000_solid-transparent.jpg,BloodFlowODS_path1_nostreamlines_solid-transparent.webm
0,path1,1,force,0,Path1StreamlinesForce/BloodFlowODS_path1_streamlines000_force.jpg,BloodFlowODS_path1_streamlines_force.webm
0,path1,1,force,1,Path1StreamlinesForceTrans/BloodFlowODS_path1_streamlines000_force-transparent.jpg,BloodFlowODS_path1_streamlines_force-transparent.webm
0,path1,1,solid,0,Path1StreamlinesSolid/BloodFlowODS_path1_streamlines000_solid.jpg,BloodFlowODS_path1_streamlines_solid.webm
0,path1,1,solid,1,Path1StreamlinesSolidTrans/BloodFlowODS_path1_streamlines000_solid-transparent.jpg,BloodFlowODS_path1_streamlines_solid-transparent.webm
0,path2,0,force,0,Path2NoStreamlinesForce/BloodFlowODS_path2_nostreamlines000_force.jpg,BloodFlowODS_path2_nostreamlines_force.webm
0,path2,0,force,1,Path2NoStreamlinesForceTrans/BloodFlowODS_path2_nostreamlines000_force-transparent.jpg,BloodFlowODS_path2_nostreamlines_force-transparent.webm
0,path2,0,solid,0,Path2NoStreamlinesSolid/BloodFlowODS_path2_nostreamlines000_solid.jpg,BloodFlowODS_path2_nostreamlines_solid.webm
0,path2,0,solid,1,Path2NoStreamlinesSolidTrans/BloodFlowODS_path2_nostreamlines000_solid-transparent.jpg,BloodFlowODS_path2_nostreamlines_solid-transparent.webm
0,path2,1,force,0,Path2StreamlinesForce/BloodFlowODS_path2_streamlines000_force.jpg,BloodFlowODS_path2_streamlines_force.webm
0,path2,1,force,1,Path2StreamlinesForceTrans/BloodFlowODS_path2_streamlines000_force-transparent.jpg,BloodFlowODS_path2_streamlines_force-transparent.webm
0,path2,1,solid,0,Path2StreamlinesSolid/BloodFlowODS_path2_streamlines000_solid.jpg,BloodFlowODS_path2_streamlines_solid.webm
0,path2,1,solid,1,Path2StreamlinesSolidTrans/BloodFlowODS_path2_streamlines000_solid-transparent.jpg,BloodFlowODS_path2_streamlines_solid-transparent.webm
1,center,0,force,0,CenterNoStreamlinesForce/BloodFlowODS_center_nostreamlines001_force.jpg,BloodFlowODS_center_nostreamlines_force.webm
1,center,0,force,1,CenterNoStreamlinesForceTrans/BloodFlowODS_center_nostreamlines001_force-transparent.jpg,BloodFlowODS_center_nostreamlines_force-transparent.webm
1,center,0,solid,0,CenterNoStreamlinesSolid/BloodFlowODS_center_nostreamlines001_solid.jpg,BloodFlowODS_center_nostreamlines_solid.webm
1,center,0,solid,1,CenterNoStreamlinesSolidTrans/BloodFlowODS_center_nostreamlines001_solid-transparent.jpg,BloodFlowODS_center_nostreamlines_solid-transparent.webm
